Real_Estate_Id,Deeded_Acreage,Total_Sale_Price,Total_Sale_Date,Month_Year_of_Sale,Year_of_Sale,Year_Built,Year_Remodeled,Heated_Area,Num_Stories,Design_Style,Bath,Utilities,Physical_City,Physical_Zip
115,0.35,83500,6/7/95,Jun-95,1995,1951,1951,3010,Other,Conventional,3 Bath,WSE,Fuquay Varina,27526
123,0.41,143000,5/7/18,18-May,2018,1959,1959,1248,One Story,Conventional,2 Bath,WE,Garner,27529
124,0.4,345000,4/1/16,16-Apr,2016,1973,1973,2148,Other,Conventional,2½ Bath,ALL,Raleigh,27607
125,0.31,48500,1/1/73,Jan-73,1973,1973,1973,1982,Two Story,Conventional,Other,ALL,Raleigh,27607
126,0.4,220000,4/30/03,3-Apr,2003,1973,1973,2368,One Story,Split Foyer,2 Bath,ALL,Raleigh,27607
127,0.49,46000,1/1/73,Jan-73,1973,1972,1972,1998,Other,Conventional,2½ Bath,ALL,Raleigh,27607
128,0.51,325000,3/15/13,13-Mar,2013,1972,1972,2835,One Story,Split level,3 Bath,ALL,Raleigh,27607
129,0.43,270000,11/18/05,5-Nov,2005,1973,1973,2295,Other,Conventional,2½ Bath,ALL,Raleigh,27607
133,0.25,144000,6/16/00,Jun-00,2000,1975,1975,1888,One Story,Conventional,2 Bath,ALL,Raleigh,27604
134,0.27,119000,8/3/98,Aug-98,1998,1975,1975,1570,One Story,Conventional,2 Bath,ALL,Raleigh,27604
143,0.32,21500,9/23/82,Sep-82,1982,1974,1974,1644,One Story,Split level,2 Bath,ALL,Raleigh,27604
144,0.28,6000,3/4/86,Mar-86,1986,1974,1974,1210,One Story,Conventional,2 Bath,ALL,Raleigh,27604
146,0.53,255000,4/2/19,19-Apr,2019,1975,1975,1559,One Story,Conventional,2 Bath,ALL,Raleigh,27607
147,0.51,252000,4/9/10,10-Apr,2010,1972,1972,1656,One Story,Conventional,2 Bath,ALL,Raleigh,27607
149,0.4,42500,1/1/73,Jan-73,1973,1972,1972,1945,One Story,Split level,2½ Bath,ALL,Raleigh,27607
150,0.4,41500,1/1/72,Jan-72,1972,1972,1972,2362,Other,Conventional,2½ Bath,ALL,Raleigh,27607
151,0.3,398000,5/11/16,16-May,2016,1973,2015,1894,One Story,Conventional,2 Bath,ALL,Raleigh,27607
152,0.31,395000,7/12/19,19-Jul,2019,1973,1973,1949,One Story,Conventional,2 Bath,ALL,Raleigh,27607
153,0.29,130000,8/15/86,Aug-86,1986,1973,1973,2408,Other,Conventional,3 Bath,ALL,Raleigh,27607
154,0.55,259000,5/19/00,May-00,2000,1974,1974,2648,Other,Conventional,2½ Bath,ALL,Raleigh,27607
155,0.32,121000,3/31/11,11-Mar,2011,1975,1975,1282,One Story,Conventional,2 Bath,ALL,Raleigh,27604
157,0.32,488000,2/17/21,21-Feb,2021,1971,1971,3210,Other,Conventional,2½ Bath,ALL,Raleigh,27607
158,0.33,117500,9/9/85,Sep-85,1985,1971,1971,3330,Other,Conventional,Other,ALL,Raleigh,27607
159,0.35,420000,5/2/07,7-May,2007,1971,1971,3080,Other,Conventional,3½ Bath,ALL,Raleigh,27607
166,0.48,188000,3/26/20,20-Mar,2020,1972,1972,1196,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27604
167,0.39,87000,8/29/95,Aug-95,1995,1972,1972,1279,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27604
168,0.28,191000,1/11/17,17-Jan,2017,1972,1972,1752,One Story,Split level,2½ Bath,ALL,Raleigh,27604
173,0.39,139000,6/5/07,7-Jun,2007,1972,1972,1218,One Story,Conventional,2 Bath,ALL,Raleigh,27604
174,0.31,84000,9/5/97,Sep-97,1997,1972,1972,1196,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27604
